,State,Year,Month,Precipitation,Number of Fires
484,AM,2003,Oct,96.9,725.0
485,AM,2003,Nov,119.6,169.0
486,AM,2003,Dec,89.9,147.0
487,AM,2004,Jan,179.6,123.0
488,AM,2004,Mar,424.2,6.0
489,AM,2004,Apr,227.2,4.0
490,AM,2004,May,422.9,0.0
491,AM,2004,Jun,120.2,12.0
492,AM,2004,Jul,59.6,177.0
493,AM,2004,Aug,141.3,1.207
494,AM,2004,Sep,112.0,911.0
495,AM,2004,Oct,66.0,710.0
496,AM,2004,Nov,13.3,209.0
497,AM,2004,Dec,140.0,53.0
498,AM,2005,Jan,165.7,44.0
499,AM,2005,Mar,334.0,12.0
500,AM,2005,Apr,404.8,5.0
501,AM,2005,May,225.5,8.0
502,AM,2005,Jun,53.5,78.0
503,AM,2005,Jul,52.4,676.0
504,AM,2005,Aug,16.2,2.316
505,AM,2005,Sep,45.9,2.812
506,AM,2005,Oct,75.2,545.0
507,AM,2005,Nov,211.6,261.0
508,AM,2005,Dec,291.8,17.0
509,AM,2006,Jan,173.3,20.0
510,AM,2006,Mar,265.3,20.0
511,AM,2006,Apr,252.1,5.0
512,AM,2006,May,382.1,4.0
513,AM,2006,Jun,87.0,9.0
514,AM,2006,Jul,71.6,123.0
515,AM,2006,Aug,16.7,1.422
516,AM,2006,Sep,32.8,2.218
517,AM,2006,Oct,66.0,721.0
518,AM,2006,Nov,294.0,59.0
519,AM,2006,Dec,317.4,23.0
520,AM,2007,Jan,414.4,37.0
521,AM,2007,Mar,336.0,6.0
522,AM,2007,Apr,343.1,0.0
523,AM,2007,May,165.3,0.0
524,AM,2007,Jun,100.2,23.0
525,AM,2007,Jul,121.9,116.0
526,AM,2007,Aug,133.3,2.241
527,AM,2007,Sep,71.7,1.36
528,AM,2007,Oct,28.5,215.0
529,AM,2007,Nov,226.2,90.0
530,AM,2007,Dec,327.9,7.0
531,AM,2008,Jan,397.4,16.0
532,AM,2008,Mar,553.0,10.0
533,AM,2008,Apr,345.4,13.0
534,AM,2008,May,264.1,1.0
535,AM,2008,Jun,202.7,7.0
536,AM,2008,Jul,80.2,108.0
537,AM,2008,Aug,58.4,861.0
538,AM,2008,Sep,56.0,998.0
539,AM,2008,Oct,162.2,632.0
540,AM,2008,Nov,280.8,39.0
541,AM,2008,Dec,458.1,0.0
542,AM,2009,Jan,310.8,9.0
543,AM,2009,Mar,232.5,11.0
544,AM,2009,Apr,222.1,1.0
545,AM,2009,May,114.0,3.0
546,AM,2009,Jun,165.8,13.0
547,AM,2009,Jul,25.1,199.0
548,AM,2009,Aug,5.4,1.321
549,AM,2009,Sep,4.2,3.091
550,AM,2009,Oct,26.0,2.189
551,AM,2009,Nov,132.3,973.0
552,AM,2009,Dec,262.4,102.0
553,AM,2010,Jan,295.8,82.0
554,AM,2010,Mar,206.4,116.0
555,AM,2010,Apr,303.4,11.0
556,AM,2010,May,165.1,13.0
557,AM,2010,Jun,119.1,9.0
558,AM,2010,Jul,100.6,640.0
559,AM,2010,Aug,54.8,3.727
560,AM,2010,Sep,26.6,2.781
561,AM,2010,Oct,116.9,889.0
562,AM,2010,Nov,140.6,354.0
563,AM,2010,Dec,290.1,123.0
564,AM,2011,Jan,226.8,53.0
565,AM,2011,Mar,323.3,49.0
566,AM,2011,Apr,515.9,5.0
567,AM,2011,May,222.4,6.0
568,AM,2011,Jun,121.3,22.0
569,AM,2011,Jul,20.2,271.0
570,AM,2011,Aug,64.3,1.2429999999999999
571,AM,2011,Sep,41.5,1.295
572,AM,2011,Oct,283.7,694.0
573,AM,2011,Nov,272.8,399.0
574,AM,2011,Dec,194.5,121.0
575,AM,2012,Jan,365.2,6.0
576,AM,2012,Mar,277.4,17.0
577,AM,2012,Apr,195.6,3.0
578,AM,2012,May,167.8,12.0
579,AM,2012,Jun,85.4,45.0
580,AM,2012,Jul,83.0,234.0
581,AM,2012,Aug,26.6,3.011
582,AM,2012,Sep,90.3,2.392
583,AM,2012,Oct,181.3,1.238
584,AM,2012,Nov,284.5,682.0
585,AM,2012,Dec,266.2,80.0
586,AM,2013,Jan,314.6,37.0
587,AM,2013,Mar,427.4,49.0
588,AM,2013,Apr,420.6,20.0
589,AM,2013,May,238.4,19.0
590,AM,2013,Jun,32.3,56.0
591,AM,2013,Jul,167.1,248.0
592,AM,2013,Aug,53.0,1.276
593,AM,2013,Sep,121.0,1.739
594,AM,2013,Oct,193.0,1.202
595,AM,2013,Nov,312.2,220.0
596,AM,2013,Dec,101.3,236.0
597,AM,2014,Jan,253.3,46.0
598,AM,2014,Mar,527.7,50.0
599,AM,2014,Apr,255.0,25.0
600,AM,2014,May,411.3,12.0
601,AM,2014,Jun,211.7,74.0
602,AM,2014,Jul,66.1,202.0
603,AM,2014,Aug,32.2,3.852
604,AM,2014,Sep,0.6,3.057
605,AM,2014,Oct,190.9,952.0
606,AM,2014,Nov,196.0,676.0
607,AM,2014,Dec,173.8,293.0
608,AM,2015,Jan,303.7,35.0
609,AM,2015,Mar,373.7,46.0
610,AM,2015,Apr,165.5,24.0
611,AM,2015,May,280.8,10.0
612,AM,2015,Jun,75.8,33.0
613,AM,2015,Jul,47.3,356.0
614,AM,2015,Aug,10.7,4.564
615,AM,2015,Sep,15.8,5.882000000000001
616,AM,2015,Oct,31.3,2.494
617,AM,2015,Nov,90.7,1.054
618,AM,2015,Dec,126.4,565.0
619,AM,2016,Jan,129.6,770.0
620,AM,2016,Mar,281.9,140.0
621,AM,2016,Apr,303.9,22.0
622,AM,2016,May,117.5,30.0
623,AM,2016,Jun,97.1,90.0
624,AM,2016,Jul,103.2,1.137
625,AM,2016,Aug,49.8,3.611
626,AM,2016,Sep,112.0,3.1189999999999998
627,AM,2016,Oct,152.2,2.105
628,AM,2016,Nov,193.7,591.0
629,AM,2016,Dec,518.8,133.0
630,AM,2017,Jan,402.1,65.0
631,AM,2017,Mar,270.0,45.0
632,AM,2017,Apr,338.4,20.0
633,AM,2017,May,135.8,40.0
634,AM,2017,Jun,126.5,119.0
635,AM,2017,Jul,75.7,1.975
636,AM,2017,Aug,20.1,6.316
637,AM,2017,Sep,166.4,4.033
638,AM,2017,Oct,148.1,1.581
639,AM,2017,Nov,195.7,552.0
640,AP,1998,Jan,253.5,0.0
641,AP,1998,Mar,428.7,0.0
642,AP,1998,Apr,287.6,0.0
643,AP,1998,May,221.9,0.0
644,AP,1998,Jun,207.2,0.0
645,AP,1998,Jul,113.5,0.0
646,AP,1998,Aug,88.2,1.0
647,AP,1998,Sep,3.2,20.0
648,AP,1998,Oct,4.1,42.0
649,AP,1998,Nov,143.2,131.0
650,AP,1998,Dec,214.6,84.0
651,AP,1999,Jan,320.0,0.0
652,AP,1999,Mar,484.7,2.0
653,AP,1999,Apr,357.2,0.0
654,AP,1999,May,306.4,0.0
655,AP,1999,Jun,246.5,2.0
656,AP,1999,Jul,171.5,0.0
657,AP,1999,Aug,147.4,0.0
658,AP,1999,Sep,37.7,4.0
659,AP,1999,Oct,12.9,25.0
660,AP,1999,Nov,10.4,26.0
661,AP,1999,Dec,188.1,41.0
662,AP,2000,Jan,309.6,2.0
663,AP,2000,Mar,443.1,0.0
664,AP,2000,Apr,362.7,0.0
665,AP,2000,May,465.1,0.0
666,AP,2000,Jun,265.5,0.0
667,AP,2000,Jul,303.6,0.0
668,AP,2000,Aug,88.0,3.0
669,AP,2000,Sep,59.1,19.0
670,AP,2000,Oct,26.6,42.0
671,AP,2000,Nov,42.3,157.0
672,AP,2000,Dec,42.1,30.0
673,AP,2001,Jan,442.4,0.0
674,AP,2001,Mar,156.8,0.0
675,AP,2001,Apr,271.6,0.0
676,AP,2001,May,251.2,0.0
677,AP,2001,Jun,352.2,0.0
678,AP,2001,Jul,131.4,1.0
679,AP,2001,Aug,24.3,12.0
680,AP,2001,Sep,8.0,95.0
681,AP,2001,Oct,46.3,194.0
682,AP,2001,Nov,7.3,406.0
683,AP,2001,Dec,90.5,593.0
684,AP,2002,Jan,240.3,7.0
685,AP,2002,Mar,492.3,0.0
686,AP,2002,Apr,383.6,0.0
687,AP,2002,May,441.3,3.0
688,AP,2002,Jun,231.4,0.0
689,AP,2002,Jul,120.3,1.0
690,AP,2002,Aug,59.9,18.0
691,AP,2002,Sep,0.8,73.0
692,AP,2002,Oct,0.8,557.0
693,AP,2002,Nov,16.6,1.0959999999999999
694,AP,2002,Dec,136.1,200.0
695,AP,2003,Jan,88.0,31.0
696,AP,2003,Mar,325.8,1.0
697,AP,2003,Apr,274.5,2.0
698,AP,2003,May,215.9,0.0
699,AP,2003,Jun,166.7,0.0
700,AP,2003,Jul,266.0,0.0
701,AP,2003,Aug,20.2,14.0
